City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
143,Bambous Virieux,MU,-20.3428,57.7575,80.22,73,53,23.85,broken clouds
144,Yarmouth,US,41.7057,-70.2286,27.99,84,0,0.0,clear sky
145,Ekibastuz,KZ,51.6667,75.3667,13.5,89,87,10.63,overcast clouds
146,Lindsay,US,36.203,-119.0882,59.79,59,0,3.44,clear sky
147,Vicosa,BR,-20.7539,-42.8819,72.18,93,100,2.06,overcast clouds
148,Longyearbyen,SJ,78.2186,15.6401,13.84,62,40,2.3,scattered clouds
149,Mount Isa,AU,-20.7333,139.5,85.77,66,73,12.66,broken clouds
150,Port Hardy,CA,50.6996,-127.4199,44.76,76,60,11.74,light rain
151,Banda Aceh,ID,5.5577,95.3222,76.89,85,99,7.83,overcast clouds
152,Hami,CN,42.8,93.45,19.76,39,1,2.13,clear sky
153,Grivenskaya,RU,45.6473,38.176,37.45,82,98,8.75,light rain
154,Thompson,CA,55.7435,-97.8558,5.56,96,100,7.2,light snow
155,Bandarbeyla,SO,9.4942,50.8122,76.44,77,58,15.1,broken clouds
156,Havoysund,NO,70.9963,24.6622,22.08,74,100,7.67,overcast clouds
157,Qandala,SO,11.472,49.8728,75.47,82,30,8.19,scattered clouds
158,Bosaso,SO,11.2842,49.1816,75.29,82,25,5.99,scattered clouds
159,Waipawa,NZ,-41.4122,175.5153,74.03,55,98,7.4,overcast clouds
160,Kavaratti,IN,10.5669,72.642,80.46,72,2,10.54,clear sky
161,Ulaangom,MN,49.9811,92.0667,-27.08,93,80,2.55,broken clouds
162,Victoria,HK,22.2855,114.1577,58.95,92,95,1.01,overcast clouds
163,Cordoba,AR,-31.4135,-64.1811,76.42,71,20,2.3,few clouds
164,Dawei,MM,14.0833,98.2,62.94,69,30,2.82,scattered clouds
165,Springbok,ZA,-29.6643,17.8865,73.27,64,1,4.23,clear sky
166,Codrington,AU,-38.2667,141.9667,63.19,62,71,20.49,broken clouds
167,Karimganj,IN,24.8667,92.35,52.11,79,9,2.55,clear sky
168,Provideniya,RU,64.3833,-173.3,5.36,66,40,26.84,scattered clouds
169,Taphan Hin,TH,16.2209,100.4198,72.63,79,44,5.79,scattered clouds
170,Saint-Pierre,RE,-21.3393,55.4781,78.48,73,20,11.5,few clouds
171,Anantapur,IN,14.6833,77.6,68.95,77,5,3.94,clear sky
172,Tuatapere,NZ,-46.1333,167.6833,75.81,48,75,0.58,broken clouds
173,Ahipara,NZ,-35.1667,173.1667,71.6,79,99,15.5,overcast clouds
174,Kimbe,PG,-5.5502,150.1429,82.24,80,100,2.21,light rain
175,Mecca,SA,21.4267,39.8261,61.0,64,19,9.75,few clouds
176,Huangzhai,CN,38.0751,112.6595,7.21,61,1,1.9,clear sky
177,Shetpe,KZ,44.1667,52.1167,33.93,93,86,7.54,overcast clouds
178,Cerritos,US,33.8583,-118.0648,68.85,68,75,3.0,broken clouds
179,Aklavik,CA,68.2191,-135.0107,0.52,90,100,12.75,overcast clouds
180,Vincennes,FR,48.85,2.4333,37.92,76,0,3.44,clear sky
181,Mandan,US,46.8267,-100.8896,39.04,96,100,11.5,overcast clouds
182,Bethel,US,41.3712,-73.414,24.66,62,0,0.0,clear sky
183,Cruz Do Espirito Santo,BR,-7.14,-35.0864,77.94,80,26,3.67,scattered clouds
184,Cedar Falls,US,42.5278,-92.4455,35.58,73,0,5.99,clear sky
185,Gladstone,AU,-23.85,151.25,85.93,62,75,4.61,broken clouds
186,Palana,RU,59.1167,159.9667,14.0,85,100,15.28,overcast clouds
187,Shyryayeve,UA,47.3805,30.1964,32.74,68,91,1.3,overcast clouds
188,Bowen,AU,-20.0167,148.2333,83.8,71,10,4.16,clear sky
189,Iralaya,HN,15.0,-83.2333,78.89,69,86,8.48,overcast clouds
190,Tevaitoa,PF,-16.7833,-151.5,80.92,73,5,20.56,clear sky
191,Haines Junction,CA,60.7522,-137.5108,-7.51,97,89,0.22,overcast clouds
192,Kropotkin,RU,45.4375,40.5756,33.22,94,100,7.27,overcast clouds
193,Tilichiki,RU,60.4667,166.1,7.47,87,100,8.25,overcast clouds
194,Hammerfest,NO,70.6634,23.6821,21.65,79,0,3.44,clear sky
195,Scarborough,GB,54.2797,-0.4044,44.51,89,92,5.01,light rain
196,Manaure,CO,11.7751,-72.4445,77.7,79,6,19.24,clear sky
197,Kavieng,PG,-2.5744,150.7967,80.92,80,100,9.84,moderate rain
198,Daru,PG,-9.0763,143.2092,77.63,88,100,8.88,light rain
199,Hanko,FI,59.8333,22.95,18.84,93,81,12.17,broken clouds
200,Mahebourg,MU,-20.4081,57.7,80.26,72,58,23.8,broken clouds
201,Vestmanna,FO,62.1564,-7.1664,45.52,81,100,32.21,overcast clouds
202,Pisco,PE,-13.7,-76.2167,71.65,78,75,18.41,broken clouds
203,Oliva,ES,38.9197,-0.1194,57.99,52,0,1.99,clear sky
204,Lazaro Cardenas,MX,17.9583,-102.2,79.29,62,0,8.34,clear sky
205,Baghdad,IQ,33.3406,44.4009,50.16,73,100,11.1,overcast clouds
206,Guerrero Negro,MX,27.9769,-114.0611,65.75,48,21,11.79,few clouds
207,Ostrovnoy,RU,68.0531,39.5131,11.07,96,100,5.3,overcast clouds
208,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.67,88,92,6.89,overcast clouds
209,Alugan,PH,12.2188,125.4808,79.47,83,67,10.36,broken clouds
210,Udachnyy,RU,66.4167,112.4,-36.04,100,81,3.38,broken clouds
