City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
245,Sao Filipe,CV,2022-01-29 01:56:54,14.8961,-24.4956,71.01,71,88,10.89
246,Atasu,KZ,2022-01-29 01:57:17,48.6814,71.6433,11.64,75,100,8.59
247,Seminole,US,2022-01-29 01:56:54,28.7086,-81.2081,61.0,80,100,13.18
248,Santa Cruz,BO,2022-01-29 01:57:18,-17.8,-63.1667,76.46,78,75,6.91
249,Aqtobe,KZ,2022-01-29 01:57:18,50.2797,57.2072,12.29,73,40,6.71
250,Panuco,MX,2022-01-29 01:57:19,22.05,-98.1667,55.04,71,100,8.55
251,Barrow,US,2022-01-29 01:57:19,71.2906,-156.7887,-18.09,100,94,12.64
252,Zheleznodorozhnyy,RU,2022-01-29 01:57:20,55.7503,38.0042,23.22,96,100,5.08
253,Portlethen,GB,2022-01-29 01:57:20,57.0547,-2.1307,56.03,71,99,10.36
254,Krasnovishersk,RU,2022-01-29 01:57:21,60.4078,57.082,0.84,98,100,4.38
255,Bethel,US,2022-01-29 01:53:18,41.3712,-73.414,30.56,89,100,6.33
256,Muriti,TZ,2022-01-29 01:57:21,-1.9833,32.9167,74.3,68,99,9.71
257,Sarahan,IN,2022-01-29 01:57:22,31.5167,77.8,29.77,49,0,11.23
258,Burg,DE,2022-01-29 01:57:22,51.8333,14.15,37.69,86,100,12.53
259,Viedma,AR,2022-01-29 01:57:23,-40.8135,-62.9967,79.14,33,0,17.47
260,Kyren,RU,2022-01-29 01:57:23,51.6828,102.1408,-4.11,88,35,0.49
261,Tulun,RU,2022-01-29 01:57:24,54.5611,100.5792,-21.91,100,98,3.09
262,Saint-Francois,FR,2022-01-29 01:57:24,46.4154,3.9054,33.24,93,100,2.3
263,Jeannette,US,2022-01-29 01:57:24,40.3281,-79.6153,25.36,78,100,5.01
264,Kangaatsiaq,GL,2022-01-29 01:57:25,68.3065,-53.4641,17.17,71,100,13.49
265,Vaitape,PF,2022-01-29 01:57:25,-16.5167,-151.75,81.43,73,6,14.88
266,Lumphat,KH,2022-01-29 01:57:26,13.4878,106.9816,81.82,53,8,4.79
267,Chapais,CA,2022-01-29 01:57:26,49.7834,-74.8492,-24.02,100,21,3.2
268,Umm Kaddadah,SD,2022-01-29 01:57:27,13.6017,26.6876,52.74,20,54,18.68
269,Guiratinga,BR,2022-01-29 01:57:27,-16.3494,-53.7583,71.67,95,100,1.99
270,Tsiroanomandidy,MG,2022-01-29 01:57:28,-18.7667,46.0333,67.1,89,33,2.13
271,Erzin,TR,2022-01-29 01:57:28,36.9559,36.2,32.52,74,28,4.76
272,Haysville,US,2022-01-29 01:57:28,37.5645,-97.3523,35.28,58,0,0.0
273,Port Moresby,PG,2022-01-29 01:57:29,-9.4431,147.1797,89.02,62,75,5.75
274,Thompson,CA,2022-01-29 01:57:29,55.7435,-97.8558,-7.44,71,100,0.0
275,Bagdarin,RU,2022-01-29 01:57:30,54.4333,113.6,-4.05,84,34,2.71
276,Abyek,IR,2022-01-29 01:57:30,36.0667,50.55,24.46,44,78,4.21
277,Muros,ES,2022-01-29 01:57:31,42.7762,-9.0603,43.84,70,0,6.87
278,Komsomolskoye,RU,2022-01-29 01:57:31,55.2567,47.5461,6.4,100,94,4.76
279,La Ronge,CA,2022-01-29 01:57:32,55.1001,-105.2842,12.45,79,100,6.91
280,Cambridge,CA,2022-01-29 01:53:32,43.3601,-80.3127,6.13,62,75,4.61
281,Nanortalik,GL,2022-01-29 01:58:32,60.1432,-45.2371,27.18,81,100,15.39
282,Saint George,US,2022-01-29 01:58:33,37.1041,-113.5841,52.27,20,0,3.4
283,Bathsheba,BB,2022-01-29 01:58:33,13.2167,-59.5167,76.05,83,40,9.22
284,Bengkulu,ID,2022-01-29 01:58:34,-3.8004,102.2655,79.07,79,100,1.9
285,Rio Grande,BR,2022-01-29 01:58:34,-32.035,-52.0986,69.94,64,7,11.32
286,Vilcun,CL,2022-01-29 01:58:35,-38.65,-72.2333,56.14,79,0,1.16
287,Jinchang,CN,2022-01-29 01:58:35,38.4953,102.1739,25.74,26,0,4.34
288,Sijunjung,ID,2022-01-29 01:58:36,-0.6876,100.9537,79.57,79,77,0.85
289,Vila Velha,BR,2022-01-29 01:58:36,-20.3297,-40.2925,78.94,81,20,7.0
290,Half Moon Bay,US,2022-01-29 01:58:37,37.4636,-122.4286,61.29,59,0,0.0
291,Port Blair,IN,2022-01-29 01:58:37,11.6667,92.75,82.44,78,75,9.22
292,Wloszczowa,PL,2022-01-29 01:58:37,50.8526,19.9659,32.4,83,100,11.54
293,Lebu,CL,2022-01-29 01:56:53,-37.6167,-73.65,58.68,92,2,4.12
